PROXY_NYT_ENG_20071115_0274.5	show-01
PROXY_NYT_ENG_20071115_0274.5	use-01
NW_XIN_ENG_0192_2005_0906.10	new-01
NW_XIN_ENG_0192_2005_0906.10	private-03
NW_XIN_ENG_0192_2005_0906.10	find-01
PROXY_XIN_ENG_20020905_0122.7	commit-02
DF-199-194215-653_0484.16	use-01
PROXY_XIN_ENG_20021123_0156.19	close-10
PROXY_XIN_ENG_20040429_0189.36	worry-02
ENG_DF_000170_20050903_C00020J0V_0001.6	use-03
ENG_DF_000170_20050903_C00020J0V_0001.6	get-01
PROXY_XIN_ENG_20021228_0162.11	include-01
PROXY_XIN_ENG_20021228_0162.11	rule-03
PROXY_LTW_ENG_20070930_0021.26	view-02
PROXY_LTW_ENG_20070930_0021.26	include-01
ENG_NA_020001_20161020_G0023FSW2_0001.7	have-03
wb.eng_0003.75	apply-02
PROXY_XIN_ENG_20040429_0189.29	give-01
DF-200-192400-625_7046.10	feel-01
DF-200-192400-625_7046.10	worry-02
NW_XIN_ENG_0191_2005_0405.7	have-03
NW_XIN_ENG_0191_2005_0405.7	measure-01
NW_XIN_ENG_0191_2005_0405.7	use-01
nw.chtb_0318.11	feel-02
nw.chtb_0318.11	serious-01
PROXY_NYT_ENG_20081008_0040.34	claim-01
PROXY_NYT_ENG_20081008_0040.34	include-01
ENG_NA_020001_20161020_G0023FSUR_0001.4	take-01
ENG_NA_020001_20161020_G0023FSUR_0001.4	find-01
NW_AFP_ENG_0013_2003_0427.6	charge-05
nw.chtb_0305.5	question-01
nw.chtb_0305.5	sign-01
PROXY_LTW_ENG_20080727_0030.32	run-01
PROXY_XIN_ENG_20030709_0070.6	consider-01
PROXY_NYT_ENG_20081008_0040.29	deal-01
PROXY_LTW_ENG_20081115_0076.25	manage-02
PROXY_LTW_ENG_20081115_0076.25	lead-02
PROXY_LTW_ENG_20081115_0076.25	lead-02
PROXY_LTW_ENG_20081115_0076.25	lead-02
PROXY_LTW_ENG_20081115_0076.25	lead-02
PROXY_LTW_ENG_20081115_0076.25	act-02
PROXY_XIN_ENG_20020725_0113.15	hold-04
ENG_NA_020001_20161020_G0023FSUO_0001.4	good-02
PROXY_XIN_ENG_20021123_0156.13	sign-02
PROXY_XIN_ENG_20040429_0189.43	ask-02
PROXY_XIN_ENG_20020725_0333.13	close-13
ENG_NA_020001_20161020_G0023FSVF_0001.5	look-02
PROXY_NYT_ENG_20040724_0084.33	apply-02
ENG_NA_020001_20161020_G0023FSV3_0001.6	find-01
PROXY_NYT_ENG_20070828_0223.16	make-01
ENG_NA_020001_20161020_G0023FSUL_0001.5	know-01
ENG_NA_020001_20161020_G0023FSUL_0001.5	clear-06
PROXY_XIN_ENG_20020725_0333.8	base-02
DF-200-192400-625_7557.7	cut-01
PROXY_LTW_ENG_20081115_0076.11	close-13
PROXY_LTW_ENG_20081115_0076.11	feel-01
PROXY_LTW_ENG_20081115_0076.11	act-02
PROXY_NYT_ENG_20050716_0171.16	ask-01
bolt12_6455_6561.6	ask-01
bolt12_6455_6561.6	go-01
bolt12_6455_6561.6	mean-01
PROXY_XIN_ENG_20040922_0123.14	develop-02
wb.eng_0003.17	new-01
PROXY_XIN_ENG_20040429_0189.16	include-91
NW_XIN_ENG_0209_2008_0513.6	try-01
NW_XIN_ENG_0209_2008_0513.6	short-07
bolt12_6455_6562.26	have-03
bolt12_6455_6562.26	right-05
bolt12_6455_6562.26	responsible-02
bolt12_6455_6562.26	present-01
bolt12_6455_6562.11	call-02
bolt12_6455_6562.11	move-01
PROXY_NYT_ENG_20070828_0223.4	lead-01
PROXY_NYT_ENG_20070828_0223.4	new-01
DF-200-192400-625_6304.13	feel-01
wb.eng_0003.40	sense-02
DF-200-192400-625_7744.23	know-01
NW_AFP_ENG_0019_2003_0630.9	mean-01
NW_AFP_ENG_0019_2003_0630.9	free-04
wb.eng_0003.83	develop-02
wb.eng_0003.83	new-01
wb.eng_0003.83	develop-02
wb.eng_0003.37	spend-01
NW_XIN_ENG_0195_2008_0420.9	close-10
DF-200-192400-625_7744.11	know-01
wb.eng_0003.61	mean-01
DF-200-192400-625_6304.19	send-01
DF-200-192400-625_6304.19	consider-02
DF-200-192400-625_6304.19	worry-02
DF-200-192400-625_6304.19	include-91
DF-200-192400-625_6304.19	know-01
DF-200-192400-625_6304.19	work-01
DF-200-192400-625_6304.19	use-03
PROXY_NYT_ENG_20020406_0118.27	know-01
bolt12_6455_6561.23	mean-01
DF-200-192400-625_6304.5	point-03
PROXY_XIN_ENG_20020701_0314.4	take-01
PROXY_NYT_ENG_20071115_0274.15	include-01
PROXY_NYT_ENG_20071115_0274.15	deal-01
DF-200-192400-625_7046.12	good-02
PROXY_NYT_ENG_20080919_0209.19	mean-01
PROXY_NYT_ENG_20080919_0209.19	use-01
bolt12_6455_6561.29	go-01
bolt12_6455_6561.29	rule-03
bolt12_6455_6562.10	recover-02
bolt12_6455_6562.10	responsible-03
wb.eng_0003.91	keep-01
wb.eng_0003.91	suppose-02
PROXY_XIN_ENG_20020905_0122.11	separate-02
PROXY_XIN_ENG_20021020_0012.11	treat-03
ENG_NA_020001_20161020_G0023FSUL_0001.4	lose-02
ENG_NA_020001_20161020_G0023FSUL_0001.4	find-01
nw.chtb_0324.9	use-02
nw.chtb_0324.9	compete-01
PROXY_NYT_ENG_20080919_0209.8	clear-06
PROXY_NYT_ENG_20081008_0040.35	deal-01
nw.chtb_0325.6	perform-01
PROXY_NYT_ENG_20040724_0084.5	concern-01
DF-200-192400-625_6304.21	work-01
DF-200-192400-625_6304.21	mean-01
PROXY_XIN_ENG_20020701_0314.9	order-01
bolt12_91455_5343.1	take-01
NW_XIN_ENG_0191_2005_0405.11	find-01
PROXY_NYT_ENG_20081128_0005.11	present-02
ENG_NA_020001_20161020_G0023FSVU_0001.4	good-02
DF-200-192400-625_7744.7	get-03
DF-200-192400-625_7744.7	go-01
PROXY_LTW_ENG_20070831_0072.21	make-01
PROXY_LTW_ENG_20070831_0072.21	move-01
wb.eng_0003.55	point-04
bolt12_91455_5320.1	perform-01
PROXY_XIN_ENG_20040922_0123.8	add-01
PROXY_XIN_ENG_20040922_0123.8	measure-02
PROXY_XIN_ENG_20011006_0073.13	mean-01
PROXY_XIN_ENG_20020725_0113.16	follow-01
PROXY_XIN_ENG_20020725_0113.16	meet-03
PROXY_XIN_ENG_20020725_0113.16	hold-04
PROXY_NYT_ENG_20050716_0171.43	new-01
bolt12_6455_6561.14	go-05
bolt12_6455_6561.14	look-01
bolt12_6455_6561.14	issue-02
PROXY_XIN_ENG_20020725_0333.11	include-91
PROXY_XIN_ENG_20021123_0156.14	measure-02
PROXY_XIN_ENG_20021123_0156.14	include-91
nw.chtb_0305.8	feel-02
nw.chtb_0305.8	good-02
nw.chtb_0305.8	sign-01
PROXY_XIN_ENG_20021020_0012.15	follow-01
PROXY_XIN_ENG_20021020_0012.15	break-01
PROXY_XIN_ENG_20021020_0012.15	fire-01
PROXY_NYT_ENG_20081008_0040.26	have-03
PROXY_NYT_ENG_20071115_0274.12	use-01
nw.chtb_0305.4	include-91
nw.chtb_0305.4	present-01
