nw.chtb_0322.17	score-entity	:op1	7
nw.chtb_0322.17	score-entity	:op2	7
PROXY_LTW_ENG_20080727_0030.11	centrifuge	:quant	6000
NW_XIN_ENG_0192_2005_0906.5	at-least	:op1	2000
wb.eng_0003.10	monetary-quantity	:quant	13000000
bolt12_6455_6561.32	person	:quant	1300000000
PROXY_NYT_ENG_20050716_0171.35	temporal-quantity	:quant	25
nw.chtb_0325.9	team	:quant	12
PROXY_XIN_ENG_20040403_0262.7	distance-quantity	:quant	40
PROXY_XIN_ENG_20020725_0113.12	person	:quant	17
PROXY_NYT_ENG_20081128_0005.9	percentage-entity	:value	19
PROXY_NYT_ENG_20081128_0005.9	percentage-entity	:value	6
NW_AFP_ENG_0019_2003_0630.11	temporal-quantity	:quant	30
NW_AFP_ENG_0014_2003_0502.10	monetary-quantity	:quant	18000000000
NW_AFP_ENG_0019_2003_0630.1	temporal-quantity	:quant	33
ENG_NA_020001_20161020_G0023FSWH_0001.2	string-entity	:value	"SetC-WP-09"
PROXY_XIN_ENG_20020725_0113.20	person	:quant	11
NW_XIN_ENG_0195_2008_0420.3	about	:op1	200
PROXY_NYT_ENG_20081128_0005.12	monetary-quantity	:quant	300000000
NW_XIN_ENG_0198_2008_1218.6	distance-quantity	:quant	90
DF-200-192400-625_7744.2	temporal-quantity	:quant	30
ENG_NA_020001_20161020_G0023FSWG_0001.2	string-entity	:value	"SetC-WP-08"
PROXY_XIN_ENG_20021020_0012.5	policeman	:quant	19
nw.chtb_0324.5	temporal-quantity	:quant	19
PROXY_XIN_ENG_20020725_0113.11	person	:quant	17
nw.chtb_0324.4	temporal-quantity	:quant	26
wb.eng_0003.82	speed-quantity	:quant	55
wb.eng_0003.82	between	:op1	75
PROXY_LTW_ENG_20080727_0030.33	centrifuge	:quant	3500
PROXY_NYT_ENG_20071115_0274.17	deny-01	:quant	75
PROXY_NYT_ENG_20071115_0274.17	state	:quant	45
NW_XIN_ENG_0192_2005_0906.9	multiple	:op1	12
PROXY_NYT_ENG_20050716_0171.44	between	:op2	2000000
DF-200-192400-625_7744.26	less-than	:op1	20
NW_AFP_ENG_0009_2003_0330.2	temporal-quantity	:quant	20
ENG_NA_020001_20161020_G0023FSUU_0001.4	about	:op1	800
PROXY_LTW_ENG_20080727_0030.31	centrifuge	:quant	5000
ENG_NA_020001_20161020_G0023FSUR_0001.4	monetary-quantity	:quant	250
PROXY_XIN_ENG_20020725_0113.21	person	:quant	11
NW_XIN_ENG_0196_2008_1027.4	distance-quantity	:quant	12
NW_XIN_ENG_0196_2008_1027.4	distance-quantity	:quant	13
ENG_NA_020001_20161020_G0023FSUO_0001.6	ordinal-entity	:value	24
wb.eng_0003.23	monetary-quantity	:quant	400000000
NW_AFP_ENG_0018_2003_0616.5	temporal-quantity	:quant	30
ENG_NA_020001_20161020_G0023FSW6_0001.2	string-entity	:value	"SetC-WP-07"
PROXY_NYT_ENG_20020406_0118.7	building	:quant	90
PROXY_XIN_ENG_20011006_0073.8	temporal-quantity	:quant	18
NW_AFP_ENG_0014_2003_0502.1	monetary-quantity	:quant	1500000000
PROXY_XIN_ENG_20021228_0162.12	distance-quantity	:quant	400
ENG_NA_020001_20161020_G0023FSW7_0001.2	string-entity	:value	"SetC-WP-08"
ENG_NA_020001_20161020_G0023FSW4_0001.2	string-entity	:value	"SetC-WP-05"
ENG_NA_020001_20161020_G0023FSWC_0001.2	string-entity	:value	"SetC-WP-04"
PROXY_LTW_ENG_20080727_0030.32	centrifuge	:quant	6000
NW_XIN_ENG_0194_2007_0704.10	area	:quant	18
NW_XIN_ENG_0194_2007_0704.10	nearly	:op1	7400000
NW_XIN_ENG_0195_2008_0420.4	person	:quant	200
nw.chtb_0322.10	mu	:quant	6.5
nw.chtb_0322.10	mu	:quant	7.5
NW_XIN_ENG_0193_2006_0822.1	at-least	:op1	33
PROXY_NYT_ENG_20081008_0040.21	tank	:quant	33
PROXY_NYT_ENG_20081008_0040.21	product	:quant	150
NW_XIN_ENG_0189_2003_0324.6	at-least	:op1	130
nw.chtb_0322.7	mu	:quant	7.5
ENG_NA_020001_20161020_G0023FSW2_0001.2	string-entity	:value	"SetC-WP-03"
DF-200-192392-456_1160.7	monetary-quantity	:quant	30
DF-200-192392-456_1160.6	monetary-quantity	:quant	20
NW_XIN_ENG_0191_2005_0405.9	distance-quantity	:quant	3700
PROXY_NYT_ENG_20071115_0274.5	approximately	:op1	75
