#	Sentence	Annotation	Comments				
1	Anne gave birth to a daughter last month. She is a very charming woman.	"(m / multi-sentence
      :snt1 (b / bear-02
            :ARG0 (p / person :name (n / name :op1 ""Anne""))
            :ARG1 (p2 / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (d / daughter)))
            :time (m2 / month
                  :mod (l / last)))
      :snt2 (w / woman
            :domain p
            :ARG0-of (c / charm-01
                  :degree (v / very))))"					
2	Anne gave birth to a daughter last month. She is a very charming baby.	"(m / multi-sentence
      :snt1 (b / bear-02
            :ARG0 (p / person :name (n / name :op1 ""Anne""))
            :ARG1 (p2 / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (d / daughter)))
            :time (m2 / month
                  :mod (l / last)))
      :snt2 (b2 / baby
            :domain p2
            :ARG0-of (c / charm-01
                  :degree (v / very))))"					
3	Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.	"(t / try-01
      :ARG0 (p / person :name (n / name :op1 ""Alice""))
      :ARG1 (s / stop-03
            :ARG0 p
            :ARG1 (p2 / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (d / daughter)))
            :ARG2 (c / chat-01
                  :location (p3 / party)))
      :ARG0-of (l / leave-13
            :ARG1 (w / wonder-01
                  :ARG0 (w2 / we)
                  :ARG1 (t2 / thing
                        :ARG0-of (c2 / cause-01
                              :ARG1 (b / behave-01
                                    :ARG0 p
                                    :ARG1 (s2 / strange))))))
      :manner (f / frantic))"					
4	Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.	"(t / try-01
      :ARG0 (p / person :name (n / name :op1 ""Alice""))
      :ARG1 (s / stop-03
            :ARG0 p
            :ARG1 (p2 / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (d / daughter)))
            :ARG2 (b2 / bark-01
                  :location (p3 / party)))
      :ARG0-of (l / leave-13
            :ARG1 (w / wonder-01
                  :ARG0 (w2 / we)
                  :ARG1 (t2 / thing
                        :ARG0-of (c2 / cause-01
                              :ARG1 (b / behave-01
                                    :ARG0 p2
                                    :ARG1 (s2 / strange))))))
      :manner (f / frantic))"					
5	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.	"(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (i / i)
            :ARG1 (y / yell-01
                  :ARG0 (p / person :name (n / name :op1 ""Jim""))
                  :ARG2 (g / guy
                        :mod (s2 / some)
                        :prep-in (u / uniform
                              :mod (m2 / military))
                        :ARG0-of (h / have-03
                              :ARG1 (b / beard
                                    :ARG1-of (r / red-02)
                                    :mod (h2 / huge))))))
      :snt2 (c / contrast-01
            :ARG1 (k / know-01 :polarity -
                  :ARG0 i
                  :ARG1 (t / thing
                        :ARG0-of (c2 / cause-01
                              :ARG1 y)))
            :ARG2 (l / look-02
                  :ARG0 p
                  :ARG1 (h3 / happy-01 :polarity -
                        :degree (v / very)))))"	"contrast-01 or :concession for ""but""?"				
6	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.	"(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (i / i)
            :ARG1 (y / yell-01
                  :ARG0 (p / person :name (n / name :op1 ""Jim""))
                  :ARG2 (g / guy
                        :mod (s2 / some)
                        :prep-in (u / uniform
                              :mod (m2 / military))
                        :ARG0-of (h / have-03
                              :ARG1 (b / beard
                                    :ARG1-of (r / red-02)
                                    :mod (h2 / huge))))))
      :snt2 (c / contrast-01
            :ARG1 (k / know-01 :polarity -
                  :ARG0 i
                  :ARG1 (p2 / person
                        :domain g))
            :ARG2 (l / look-02
                  :ARG0 g
                  :ARG1 (h3 / happy-01 :polarity -
                        :degree (v / very)))))"	"contrast-01 or :concession for ""but""?"				
7	The fish ate the worm. It was hungry.	"(m / multi-sentence
      :snt1 (e / eat-01
            :ARG0 (f / fish)
            :ARG1 (w / worm))
      :snt2 (h / hunger-01
            :ARG0 f))"					
8	The fish ate the worm. It was tasty.	"(m / multi-sentence
      :snt1 (e / eat-01
            :ARG0 (f / fish)
            :ARG1 (w / worm))
      :snt2 (t / tasty
            :domain w))"					
9	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.	"(c / contrast-01
      :ARG1 (t / try-01
            :ARG0 (i / i)
            :ARG1 (o / open-01
                  :ARG1 (l / lock)
                  :ARG2 (k / key)))
      :ARG2 (a / and
            :op1 (f / fill-01
                  :ARG0 (s / someone)
                  :ARG1 (k2 / keyhole)
                  :ARG2 (g / gum
                        :ARG1-of (c2 / chew-01)))
            :op2 (p / possible-01 :polarity -
                  :ARG1 (g2 / get-05
                        :ARG0 i
                        :ARG1 k
                        :ARG2 (i2 / inside)))))"	"Reference for ""inside""from corpus: ""If you still have troubles, just go see the piercer and they'll put it in for you"""				
10	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.	"(c / contrast-01
      :ARG1 (t / try-01
            :ARG0 (i / i)
            :ARG1 (o / open-01
                  :ARG1 (l / lock)
                  :ARG2 (k / key)))
      :ARG2 (a / and
            :op1 (f / fill-01
                  :ARG0 (s / someone)
                  :ARG1 (k2 / keyhole)
                  :ARG2 (g / gum
                        :ARG1-of (c2 / chew-01)))
            :op2 (p / possible-01 :polarity -
                  :ARG1 (g2 / get-05
                        :ARG0 i
                        :ARG1 g
                        :ARG2 (o2 / out-06)))))"					
